ID,Product,Date,Seller,Price
1,"Apple Watch Ultra 2",2025-12-30,"Idealo Partner",675.00
2,"Apple Watch Ultra 2",2025-12-30,"Our company",839.99
3,"Apple Watch Ultra",2025-12-30,"Idealo Partner",779.95
4,"Apple Watch Ultra",2025-12-30,"Our company",689.99
5,"Garmin Epix™ Pro Gen 2",2025-12-30,"Idealo Partner",490.44
6,"Garmin Epix™ Pro Gen 2",2025-12-30,"Our company",699.99
7,"Garmin Venu 3S",2025-12-30,"Idealo Partner",319.00
8,"Garmin Venu 3S",2025-12-30,"Our company",389.99
9,"Garmin Venu 3",2025-12-30,"Idealo Partner",299.99
10,"Garmin Venu 3",2025-12-30,"Our company",409.99
11,"Garmin fēnix® 7X Pro",2025-12-30,"Idealo Partner",508.47
12,"Garmin fēnix® 7X Pro",2025-12-30,"Our company",699.99
13,"Garmin fēnix® 7 Pro",2025-12-30,"Idealo Partner",468.50
14,"Garmin fēnix® 7 Pro",2025-12-30,"Our company",619.99
15,"Garmin Forerunner 965",2025-12-30,"Idealo Partner",469.95
16,"Garmin Forerunner 965",2025-12-30,"Our company",559.99
17,"Garmin Forerunner 255",2025-12-30,"Idealo Partner",199.90
18,"Garmin Forerunner 255",2025-12-30,"Our company",239.99
19,"Withings ScanWatch 2",2025-12-30,"Idealo Partner",273.99
20,"Withings ScanWatch 2",2025-12-30,"Our company",129.99
